PopSize: 300, Gens: 0
835, 143.05
836, 143.044
837, 141.996
838, 142.652
839, 142.394
840, 142.442
841, 142.664
842, 142.346
843, 142.98
844, 143.025
845, 143.141
846, 143.067
847, 142.39
848, 142.436
849, 142.075
850, 142.739
851, 142.53
852, 141.881
853, 142.267
854, 142.711
855, 142.729
856, 143.201
857, 142.708
858, 142.649
859, 142.416
860, 142.968
861, 143.115
862, 143.117
863, 142.591
864, 143.262
865, 143.652
866, 142.241
867, 142.653
868, 142.633
869, 142.606
870, 142.542
871, 142.776
872, 142.98
873, 142.957
874, 143.221
875, 143.388
876, 142.597
877, 142.806
878, 142.83
879, 142.712
880, 143.34
881, 143.498
882, 143.203
883, 143.202
884, 143.126
885, 143.068
886, 142.816
887, 143.613
888, 143.038
889, 142.927
890, 143.26
891, 142.739
892, 143.232
893, 143.764
894, 143.821
895, 143.378
896, 143.253
897, 143.202
898, 143.221
899, 143.216
900, 143.796
901, 143.699
902, 144.062
903, 143.769
904, 143.164
905, 143.759
906, 143.576
907, 143.709
908, 143.326
909, 143.697
910, 143.559
911, 143.197
912, 143.537
913, 143.763
914, 143.558
915, 142.864
916, 143.179
917, 143.561
918, 143.841
919, 143.703
920, 143.656
921, 143.244
922, 144.01
923, 143.792
924, 143.813
925, 144.336
926, 144.137
927, 144.219
928, 144.189
929, 144.209
930, 143.399
931, 143.71
932, 144.529
933, 144.317
934, 144.257
935, 144.418
936, 144.164
937, 144.368
938, 144.273
939, 144.468
940, 143.579
941, 144.205
942, 144.301
943, 143.896
944, 143.531
945, 143.913
946, 144.41
947, 144.536
948, 143.725
949, 144.656
950, 144.365
951, 144.396
952, 144.346
953, 144.37
954, 144.37
955, 144.3
956, 144.46
957, 143.77
958, 143.793
959, 144.303
960, 144.78
961, 144.67
962, 144.746
963, 144.274
964, 144.146
965, 144.159
966, 144.972
967, 145.074
968, 144.407
969, 144.654
970, 144.412
971, 144.588
972, 144.572
973, 144.913
974, 144.881
975, 144.853
976, 144.227
977, 144.483
978, 144.767
979, 144.983
980, 145.438
981, 144.61
982, 145.078
983, 144.709
984, 145.045
985, 145.028
986, 145.344
987, 144.763
988, 144.527
989, 144.655
990, 144.404
991, 144.993
992, 145.196
993, 145.061
994, 144.617
995, 144.953
996, 144.86
997, 144.58
998, 145.182
999, 145.246
1000, 144.864
1001, 145.102
1002, 144.844
1003, 144.89
1004, 144.795
1005, 145.262
1006, 144.969
1007, 145.274
1008, 144.673
1009, 145.059
1010, 145.38
1011, 144.804
1012, 145.822
1013, 145.217
1014, 145.035
1015, 144.973
1016, 145.666
1017, 145.688
1018, 145.355
1019, 145.525
1020, 145.36
1021, 145.181
1022, 145.575
1023, 145.496
1024, 145.726
1025, 145.33
1026, 145.097
1027, 145.723
1028, 145.377
1029, 144.808
1030, 145.689
1031, 145.162
1032, 145.407
1033, 144.985
1034, 145.156
1035, 145.269
1036, 146.262
1037, 145.447
1038, 145.238
1039, 146.518
1040, 145.54
1041, 144.954
1042, 145.551
1043, 145.256
1044, 145.436
1045, 145.92
1046, 146.302
1047, 146.349
1048, 145.916
1049, 145.286
1050, 146.061
1051, 145.458
1052, 145.783
1053, 145.97
1054, 146.217
1055, 145.897
1056, 146.28
1057, 146.181
1058, 146.054
1059, 145.791
1060, 146.013
1061, 145.227
1062, 145.548
1063, 145.867
1064, 145.717
1065, 146.501
1066, 145.53
1067, 145.561
1068, 145.969
1069, 145.514
1070, 145.663
1071, 146.416
1072, 146.378
1073, 146.674
1074, 146.294
1075, 146.478
1076, 146.117
1077, 145.162
1078, 145.733
1079, 146.182
1080, 146.563
1081, 146.576
1082, 146.793
1083, 146.678
1084, 146.377
1085, 146.287
1086, 146.353
1087, 146.774
1088, 146.61
1089, 146.24
1090, 147.062
1091, 146.645
1092, 146.634
1093, 146.732
1094, 147.066
1095, 146.59
1096, 146.826
1097, 146.643
1098, 146.237
1099, 146.722
1100, 146.755
1101, 146.12
1102, 146.301
1103, 146.929
1104, 146.612
1105, 146.865
1106, 146.932
1107, 146.95
1108, 146.472
1109, 146.515
1110, 146.374
1111, 146.291
1112, 146.308
1113, 146.043
1114, 146.589
1115, 147.238
1116, 146.305
1117, 147.106
1118, 146.475
1119, 145.997
1120, 147.279
1121, 146.922
1122, 147.188
1123, 147.383
1124, 147.232
1125, 146.521
1126, 146.354
1127, 146.85
1128, 146.977
1129, 147.265
1130, 146.985
1131, 147.133
1132, 146.015
1133, 147.108
1134, 146.921
1135, 146.377
1136, 147.097
1137, 147.643
1138, 147.794
1139, 146.646
